Столбец1;Столбец2;Столбец3;Столбец4;Столбец5;Столбец6;Столбец7;Столбец8;Столбец9;Столбец10;Столбец11;Столбец12;score
'min_child_weight': 3.0; 'n_estimators': 383.0; 'silent': 1; 'nthread': 6; 'gamma': 0.8500000000000001; 'max_depth': 10; 'eta': 0.225; 'subsample': 0.6000000000000001; 'num_class': 5; 'colsample_bytree': 0.9; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5778414517669532
'min_child_weight': 1.0; 'n_estimators': 152.0; 'silent': 1; 'nthread': 6; 'gamma': 0.7000000000000001; 'max_depth': 2; 'eta': 0.17500000000000002; 'subsample': 0.8; 'num_class': 5; 'colsample_bytree': 0.65; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5768863419293219
'min_child_weight': 2.0; 'n_estimators': 271.0; 'silent': 1; 'nthread': 6; 'gamma': 0.6000000000000001; 'max_depth': 6; 'eta': 0.05; 'subsample': 0.55; 'num_class': 5; 'colsample_bytree': 0.75; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5740210124164279
'min_child_weight': 3.0; 'n_estimators': 836.0; 'silent': 1; 'nthread': 6; 'gamma': 0.5; 'max_depth': 2; 'eta': 0.025; 'subsample': 0.6000000000000001; 'num_class': 5; 'colsample_bytree': 0.65; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5740210124164279
'min_child_weight': 1.0; 'n_estimators': 933.0; 'silent': 1; 'nthread': 6; 'gamma': 0.8; 'max_depth': 7; 'eta': 0.325; 'subsample': 0.65; 'num_class': 5; 'colsample_bytree': 0.75; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5721107927411653
'min_child_weight': 2.0; 'n_estimators': 346.0; 'silent': 1; 'nthread': 6; 'gamma': 0.5; 'max_depth': 6; 'eta': 0.07500000000000001; 'subsample': 0.7000000000000001; 'num_class': 5; 'colsample_bytree': 0.6000000000000001; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5721107927411653
'min_child_weight': 4.0; 'n_estimators': 760.0; 'silent': 1; 'nthread': 6; 'gamma': 0.9500000000000001; 'max_depth': 8; 'eta': 0.1; 'subsample': 0.9; 'num_class': 5; 'colsample_bytree': 0.9; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5702005730659025
'min_child_weight': 6.0; 'n_estimators': 488.0; 'silent': 1; 'nthread': 6; 'gamma': 0.5; 'max_depth': 1; 'eta': 0.1; 'subsample': 0.8500000000000001; 'num_class': 5; 'colsample_bytree': 0.8; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5702005730659025
'min_child_weight': 4.0; 'n_estimators': 618.0; 'silent': 1; 'nthread': 6; 'gamma': 0.7000000000000001; 'max_depth': 5; 'eta': 0.15000000000000002; 'subsample': 1.0; 'num_class': 5; 'colsample_bytree': 0.7000000000000001; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5702005730659025
'min_child_weight': 1.0; 'n_estimators': 433.0; 'silent': 1; 'nthread': 6; 'gamma': 0.8; 'max_depth': 6; 'eta': 0.15000000000000002; 'subsample': 0.7000000000000001; 'num_class': 5; 'colsample_bytree': 0.6000000000000001; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5702005730659025
'min_child_weight': 4.0; 'n_estimators': 123.0; 'silent': 1; 'nthread': 6; 'gamma': 0.7000000000000001; 'max_depth': 9; 'eta': 0.05; 'subsample': 0.7000000000000001; 'num_class': 5; 'colsample_bytree': 0.75; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5692454632282713
'min_child_weight': 3.0; 'n_estimators': 112.0; 'silent': 1; 'nthread': 6; 'gamma': 0.8500000000000001; 'max_depth': 5; 'eta': 0.47500000000000003; 'subsample': 0.8500000000000001; 'num_class': 5; 'colsample_bytree': 0.8; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5692454632282713
'min_child_weight': 4.0; 'n_estimators': 440.0; 'silent': 1; 'nthread': 6; 'gamma': 0.6000000000000001; 'max_depth': 4; 'eta': 0.30000000000000004; 'subsample': 0.9; 'num_class': 5; 'colsample_bytree': 0.6000000000000001; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5682903533906399
